0.17 5.04150254246 [34, 137, 34, 129, 197, 10, 128, 136, 73, 44, 194, 186, 75, 85, 97, 118, 148, 196, 26, 99, 29, 127, 67, 117, 8, 66, 162, 11, 84, 1]
0.93 4.40878704462 [186, 50, 56, 7, 97, 30, 67, 169, 48, 159, 113, 15, 166, 44, 101, 177, 29, 123, 160, 97, 111, 66, 15, 23, 63, 10, 116, 85, 84, 60]
0.09 5.51975704175 [18, 131, 56, 175, 169, 2, 119, 32, 50, 147, 87, 189, 101, 160, 31, 178, 85, 161, 141, 127, 117, 156, 95, 136, 47, 27, 169, 47, 132, 9]
0.745 4.68285040496 [149, 9, 129, 58, 57, 51, 108, 17, 163, 133, 88, 60, 142, 63, 161, 152, 64, 60, 157, 42, 35, 74, 87, 16, 187, 150, 33, 40, 82, 51]
0.265 4.7542210809 [53, 133, 86, 89, 172, 106, 21, 4, 20, 3, 16, 42, 173, 130, 46, 152, 182, 13, 27, 190, 83, 140, 101, 63, 67, 24, 114, 192, 98, 117]
0.26 4.97661863726 [52, 138, 147, 31, 29, 82, 120, 167, 92, 192, 64, 115, 130, 100, 123, 61, 106, 111, 170, 167, 192, 47, 2, 12, 23, 64, 0, 114, 22, 132]
0.03 5.40317945412 [6, 192, 43, 134, 155, 129, 193, 37, 57, 135, 131, 86, 91, 129, 14, 7, 29, 195, 86, 152, 150, 54, 77, 124, 96, 92, 1, 125, 168, 166]


0.745 4.68285040496 [149, 9, 129, 58, 57, 51, 108, 17, 163, 133, 88, 60, 142, 63, 161, 152, 64, 60, 157, 42, 35, 74, 87, 16, 187, 150, 33, 40, 82, 51]
0.26 4.97661863726 [52, 138, 147, 31, 29, 82, 120, 167, 92, 192, 64, 115, 130, 100, 123, 61, 106, 111, 170, 167, 192, 47, 2, 12, 23, 64, 0, 114, 22, 132]
0.03 5.40317945412 [6, 192, 43, 134, 155, 129, 193, 37, 57, 135, 131, 86, 91, 129, 14, 7, 29, 195, 86, 152, 150, 54, 77, 124, 96, 92, 1, 125, 168, 166]
0.015 5.08474429793 [3, 56, 70, 64, 59, 87, 147, 182, 11, 103, 111, 192, 70, 48, 131, 12, 4, 105, 75, 90, 114, 91, 27, 122, 137, 178, 115, 74, 49, 177]
0.125 5.01695375693 [25, 114, 155, 117, 76, 20, 49, 12, 71, 151, 198, 56, 13, 70, 79, 151, 15, 150, 69, 159, 167, 0, 65, 121, 41, 178, 102, 85, 161, 94]
0.4 4.70206548337 [80, 115, 134, 79, 101, 15, 145, 116, 55, 12, 63, 195, 120, 12, 46, 13, 133, 66, 166, 20, 93, 57, 44, 137, 108, 177, 69, 10, 91, 172]
0.23 4.74892878411 [46, 148, 65, 150, 100, 79, 95, 17, 7, 133, 140, 66, 24, 90, 26, 91, 178, 35, 2, 155, 0, 96, 41, 58, 184, 168, 167, 93, 156, 48]
0.435 4.39699778697 [87, 67, 84, 104, 198, 167, 27, 34, 97, 178, 14, 158, 79, 101, 67, 176, 18, 52, 22, 56, 29, 154, 3, 90, 32, 80, 39, 22, 6, 166]
0.61 4.30053781239 [122, 172, 111, 73, 71, 112, 7, 155, 119, 42, 126, 59, 3, 57, 106, 68, 66, 145, 45, 19, 109, 6, 97, 82, 179, 61, 99, 55, 41, 89]


0.015 5.08474429793 [3, 56, 70, 64, 59, 87, 147, 182, 11, 103, 111, 192, 70, 48, 131, 12, 4, 105, 75, 90, 114, 91, 27, 122, 137, 178, 115, 74, 49, 177]
0.4 4.70206548337 [80, 115, 134, 79, 101, 15, 145, 116, 55, 12, 63, 195, 120, 12, 46, 13, 133, 66, 166, 20, 93, 57, 44, 137, 108, 177, 69, 10, 91, 172]
0.23 4.74892878411 [46, 148, 65, 150, 100, 79, 95, 17, 7, 133, 140, 66, 24, 90, 26, 91, 178, 35, 2, 155, 0, 96, 41, 58, 184, 168, 167, 93, 156, 48]
0.435 4.39699778697 [87, 67, 84, 104, 198, 167, 27, 34, 97, 178, 14, 158, 79, 101, 67, 176, 18, 52, 22, 56, 29, 154, 3, 90, 32, 80, 39, 22, 6, 166]
0.61 4.30053781239 [122, 172, 111, 73, 71, 112, 7, 155, 119, 42, 126, 59, 3, 57, 106, 68, 66, 145, 45, 19, 109, 6, 97, 82, 179, 61, 99, 55, 41, 89]
0.185 4.57172062316 [37, 104, 9, 63, 83, 75, 106, 102, 75, 188, 189, 31, 149, 4, 103, 71, 14, 103, 22, 193, 44, 117, 180, 124, 62, 54, 21, 61, 69, 32]
0.63 4.17769316345 [126, 174, 51, 22, 50, 92, 42, 55, 40, 11, 41, 178, 172, 68, 126, 87, 51, 37, 153, 46, 80, 157, 197, 46, 31, 44, 30, 161, 4, 51]
0.11 4.85373663194 [22, 116, 73, 118, 13, 26, 18, 169, 89, 136, 15, 35, 119, 139, 23, 101, 142, 121, 173, 93, 162, 46, 23, 165, 76, 94, 85, 185, 70, 8]
0.0 5.06086206897 [0, 177, 64, 123, 185, 189, 22, 16, 16, 50, 88, 68, 153, 134, 189, 29, 24, 52, 161, 50, 166, 133, 140, 197, 76, 52, 42, 156, 42, 0]


0.23 4.74892878411 [46, 148, 65, 150, 100, 79, 95, 17, 7, 133, 140, 66, 24, 90, 26, 91, 178, 35, 2, 155, 0, 96, 41, 58, 184, 168, 167, 93, 156, 48]
0.435 4.39699778697 [87, 67, 84, 104, 198, 167, 27, 34, 97, 178, 14, 158, 79, 101, 67, 176, 18, 52, 22, 56, 29, 154, 3, 90, 32, 80, 39, 22, 6, 166]
0.61 4.30053781239 [122, 172, 111, 73, 71, 112, 7, 155, 119, 42, 126, 59, 3, 57, 106, 68, 66, 145, 45, 19, 109, 6, 97, 82, 179, 61, 99, 55, 41, 89]
0.185 4.57172062316 [37, 104, 9, 63, 83, 75, 106, 102, 75, 188, 189, 31, 149, 4, 103, 71, 14, 103, 22, 193, 44, 117, 180, 124, 62, 54, 21, 61, 69, 32]
0.63 4.17769316345 [126, 174, 51, 22, 50, 92, 42, 55, 40, 11, 41, 178, 172, 68, 126, 87, 51, 37, 153, 46, 80, 157, 197, 46, 31, 44, 30, 161, 4, 51]
0.11 4.85373663194 [22, 116, 73, 118, 13, 26, 18, 169, 89, 136, 15, 35, 119, 139, 23, 101, 142, 121, 173, 93, 162, 46, 23, 165, 76, 94, 85, 185, 70, 8]
0.0 5.06086206897 [0, 177, 64, 123, 185, 189, 22, 16, 16, 50, 88, 68, 153, 134, 189, 29, 24, 52, 161, 50, 166, 133, 140, 197, 76, 52, 42, 156, 42, 0]
0.095 4.36336687781 [19, 172, 177, 85, 176, 167, 47, 41, 97, 106, 49, 194, 156, 44, 58, 0, 6, 133, 73, 0, 25, 87, 13, 99, 10, 7, 55, 44, 125, 123]
0.765 4.17333177944 [153, 197, 12, 41, 58, 24, 36, 44, 155, 61, 48, 188, 86, 126, 197, 44, 102, 88, 10, 42, 43, 175, 176, 8, 130, 18, 145, 15, 28, 28]


0.61 4.30053781239 [122, 172, 111, 73, 71, 112, 7, 155, 119, 42, 126, 59, 3, 57, 106, 68, 66, 145, 45, 19, 109, 6, 97, 82, 179, 61, 99, 55, 41, 89]
0.63 4.17769316345 [126, 174, 51, 22, 50, 92, 42, 55, 40, 11, 41, 178, 172, 68, 126, 87, 51, 37, 153, 46, 80, 157, 197, 46, 31, 44, 30, 161, 4, 51]
0.0 5.06086206897 [0, 177, 64, 123, 185, 189, 22, 16, 16, 50, 88, 68, 153, 134, 189, 29, 24, 52, 161, 50, 166, 133, 140, 197, 76, 52, 42, 156, 42, 0]
0.095 4.36336687781 [19, 172, 177, 85, 176, 167, 47, 41, 97, 106, 49, 194, 156, 44, 58, 0, 6, 133, 73, 0, 25, 87, 13, 99, 10, 7, 55, 44, 125, 123]
0.765 4.17333177944 [153, 197, 12, 41, 58, 24, 36, 44, 155, 61, 48, 188, 86, 126, 197, 44, 102, 88, 10, 42, 43, 175, 176, 8, 130, 18, 145, 15, 28, 28]
0.545 4.31921438355 [109, 5, 69, 12, 95, 143, 66, 37, 17, 159, 174, 29, 172, 194, 94, 7, 113, 43, 118, 34, 61, 132, 93, 39, 145, 55, 0, 57, 46, 6]


0.61 4.30053781239 [122, 172, 111, 73, 71, 112, 7, 155, 119, 42, 126, 59, 3, 57, 106, 68, 66, 145, 45, 19, 109, 6, 97, 82, 179, 61, 99, 55, 41, 89]
0.63 4.17769316345 [126, 174, 51, 22, 50, 92, 42, 55, 40, 11, 41, 178, 172, 68, 126, 87, 51, 37, 153, 46, 80, 157, 197, 46, 31, 44, 30, 161, 4, 51]
